Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
A001;PD;ABANO TERME;;D3AB;PD;PD;PD00;028001;;;
A004;LO;ABBADIA CERRETO;;C1AB;LO;LO;LO00;098001;;;
A005;LC;ABBADIA LARIANA;;C4AC;LC;LC;LC00;097001;;;
A006;SI;ABBADIA SAN SALVATORE;;I9AB;SI;SI;SI10;052001;;;
A007;OR;ABBASANTA;;V4AB;OR;OR;OR00;095001;;;
A008;PE;ABBATEGGIO;;N3AB;PE;PE;PE00;068001;;;
A010;MI;ABBIATEGRASSO;;C1AC;MI;MI;PV00;015002;;;
A013;PZ;ABRIOLA;;S1AB;PZ;PZ;PZ00;076001;;;
A014;RG;ACATE;;U7AB;RG;RG;RG00;088001;;;
A015;FG;ACCADIA;;R3AB;FG;FG;FG00;071001;;;
A016;CN;ACCEGLIO;;A4AB;CN;CN;CN00;004001;;;
A017;MT;ACCETTURA;;S2AB;MT;MT;MT00;077001;;;
A018;AQ;ACCIANO;;N1AB;AQ;AQ;AQ00;066001;;;
A019;RI;ACCUMOLI;;M4AB;RI;RI;RI00;057001;;;
A020;PZ;ACERENZA;;S1AC;PZ;PZ;PZ00;076002;;;
A022;BZ;CERMES;TSCHERMS;E2AC;;;;021020;;;
A023;SA;ACERNO;;Q5AB;SA;SA;SA00;065001;;;
A024;NA;ACERRA;;Q1AB;NA;NA;CE00;063001;;;
A025;CT;ACI BONACCORSI;;U4AB;CT;CT;CT00;087001;;;
A026;CT;ACI CASTELLO;;U4AC;CT;CT;CT00;087002;;;
A027;CT;ACI CATENA;;U4AD;CT;CT;CT00;087003;;;
A028;CT;ACIREALE;;U4AE;CT;CT;CT00;087004;;;
A029;CT;ACI SANT'ANTONIO;;U4AF;CT;CT;CT00;087005;;;
A032;FR;ACQUAFONDATA;;M2AB;FR;FR;FR00;060001;;;
A033;CS;ACQUAFORMOSA;;T3AB;CS;CS;CS00;078001;;;
A034;BS;ACQUAFREDDA;;C3AB;BS;BS;MN10;017001;;;
A035;PU;ACQUALAGNA;;K4AB;PS;PS;PS10;041001;;;
A038;MN;ACQUANEGRA SUL CHIESE;;C6AB;MN;MN;MN10;020001;;;
A039;CR;ACQUANEGRA CREMONESE;;C5AC;CR;CR;CR00;019001;;;
A040;VT;ACQUAPENDENTE;;M5AB;VT;VT;VT00;056001;;;
A041;CS;ACQUAPPESA;;T3AC;CS;CS;CS00;078002;;;
A042;LE;ACQUARICA DEL CAPO;;R4AB;LE;LE;LE00;075001;;;
A043;VV;ACQUARO;;T2AB;VV;VV;VV00;102001;;;
A044;AP;ACQUASANTA TERME;;K2AB;AP;AP;AP00;044001;;;
A045;TR;ACQUASPARTA;;L2AB;TR;TR;TR00;055001;;;
A047;AP;ACQUAVIVA PICENA;;K2AC;AP;AP;AP00;044002;;;
A048;BA;ACQUAVIVA DELLE FONTI;;R1AB;BA;BA;BA00;072001;;;
A049;CL;ACQUAVIVA PLATANI;;U3AB;CL;CL;CL00;085001;;;
A050;CB;ACQUAVIVA COLLECROCE;;P1AB;CB;CB;CB00;070001;;;
A051;IS;ACQUAVIVA D'ISERNIA;;P2AB;IS;IS;IS00;094001;;;
A052;AL;ACQUI TERME;;A2AB;AL;AL;AL10;006001;;;
A053;CS;ACRI;;T3AD;CS;CS;CS00;078003;;;
A054;FR;ACUTO;;M2AC;FR;FR;FR00;060002;;;
A055;BA;ADELFIA;;R1AC;BA;BA;BA00;072002;;;
A056;CT;ADRANO;;U4AG;CT;CT;CT00;087006;;;
A057;BG;ADRARA SAN MARTINO;;C2AB;BG;BG;BG00;016001;;;
A058;BG;ADRARA SAN ROCCO;;C2AC;BG;BG;BG00;016002;;;
A059;RO;ADRIA;;D4AB;RO;RO;RO00;029001;;;
A060;BS;ADRO;;C3AE;BS;BS;BS00;017002;;;
A061;VR;AFFI;;D6AB;VR;VR;VR00;023001;;;
A062;RM;AFFILE;;M1AB;RM;RM;RM20;058001;;;
A064;NA;AFRAGOLA;;Q1AC;NA;NA;NA20;063002;;;
A065;RC;AFRICO;;T1AB;RC;RC;RC00;080001;;;
A067;PC;AGAZZANO;;H6AB;PC;PC;PC00;033001;;;
A068;NA;AGEROLA;;Q1AD;NA;NA;NA20;063003;;;
A069;SS;AGGIUS;;V3AB;SS;SS;SS10;090001;;;
A070;EN;AGIRA;;U5AB;EN;EN;EN00;086001;;;
A071;PT;AGLIANA;;I8AC;PT;PT;PT00;047002;;;
A072;AT;AGLIANO TERME;;A3AB;AT;AT;AT00;005001;;;
A074;TO;AGLIE';;A1AC;TO;TO;TO40;001001;;;
A075;PD;AGNA;;D3AC;PD;PD;PD00;028002;;;
A076;CR;AGNADELLO;;C5AD;CR;CR;LO00;019002;;;
A077;RC;AGNANA CALABRA;;T1AC;RC;RC;RC00;080002;;;
A080;IS;AGNONE;;P2AC;IS;IS;IS00;094002;;;
A081;FR;VILLA LATINA;;M2DP;FR;FR;FR00;060088;;;
A082;BS;AGNOSINE;;C3AF;BS;BS;BS20;017003;;;
A083;BL;AGORDO;;D2AB;BL;BL;BL00;025001;;;
A084;RM;AGOSTA;;M1AC;RM;RM;RM20;058002;;;
A085;VA;AGRA;;C9AC;VA;VA;VA00;012001;;;
A087;MB;AGRATE BRIANZA;;C1AF;MI;MI;MI20;108001;;;
A088;NO;AGRATE CONTURBIA;;A5AE;NO;NO;NO00;003001;;;
A089;AG;AGRIGENTO;;U2AA;AG;AG;AG00;084001;;;
A091;SA;AGROPOLI;;Q5AC;SA;SA;SA00;065002;;;
